lands_in_deck,drs_in_deck,targets_in_deck,creatures_in_deck,blanks_in_deck,win_%,fail_%,avg_creatures_in_gy
1,1,1,17,0,0.00,100.00,0.00
1,1,1,17,1,0.00,100.00,0.00
1,1,1,17,2,0.00,100.00,0.00
1,1,1,17,3,0.00,100.00,0.00
1,1,1,17,4,0.00,100.00,0.00
1,1,1,17,5,0.00,100.00,0.00
1,1,1,17,6,0.00,100.00,0.00
1,1,1,17,7,0.00,100.00,0.00
1,1,1,17,8,0.00,100.00,0.00
1,1,1,17,9,0.00,100.00,0.00
1,1,1,17,10,0.00,100.00,0.00
1,1,1,17,11,0.00,100.00,0.00
1,1,1,17,12,0.00,100.00,0.00
1,1,1,17,13,0.00,100.00,0.00
1,1,1,17,14,0.00,100.00,0.00
1,1,1,17,15,0.00,100.00,0.00
1,1,1,18,0,0.00,100.00,0.00
1,1,1,18,1,0.00,100.00,0.00
1,1,1,18,2,0.00,100.00,0.00
1,1,1,18,3,0.00,100.00,0.00
1,1,1,18,4,0.00,100.00,0.00
1,1,1,18,5,0.00,100.00,0.00
1,1,1,18,6,0.00,100.00,0.00
1,1,1,18,7,0.00,100.00,0.00
1,1,1,18,8,0.00,100.00,0.00
1,1,1,18,9,0.00,100.00,0.00
1,1,1,18,10,0.00,100.00,0.00
1,1,1,18,11,0.00,100.00,0.00
1,1,1,18,12,0.00,100.00,0.00
1,1,1,18,13,0.00,100.00,0.00
1,1,1,18,14,0.00,100.00,0.00
1,1,1,18,15,0.00,100.00,0.00
1,1,1,19,0,0.00,100.00,0.00
1,1,1,19,1,0.00,100.00,0.00
1,1,1,19,2,0.00,100.00,0.00
1,1,1,19,3,0.00,100.00,0.00
1,1,1,19,4,0.00,100.00,0.00
1,1,1,19,5,0.00,100.00,0.00
1,1,1,19,6,0.00,100.00,0.00
1,1,1,19,7,0.00,100.00,0.00
1,1,1,19,8,0.00,100.00,0.00
1,1,1,19,9,0.00,100.00,0.00
1,1,1,19,10,0.00,100.00,0.00
1,1,1,19,11,0.00,100.00,0.00
1,1,1,19,12,0.00,100.00,0.00
1,1,1,19,13,0.00,100.00,0.00
1,1,1,19,14,0.00,100.00,0.00
1,1,1,19,15,0.00,100.00,0.00
1,1,1,20,0,0.00,100.00,0.00
1,1,1,20,1,0.00,100.00,0.00
1,1,1,20,2,0.00,100.00,0.00
1,1,1,20,3,0.00,100.00,0.00
1,1,1,20,4,0.00,100.00,0.00
1,1,1,20,5,0.00,100.00,0.00
1,1,1,20,6,0.00,100.00,0.00
1,1,1,20,7,0.00,100.00,0.00
1,1,1,20,8,0.00,100.00,0.00
1,1,1,20,9,0.00,100.00,0.00
1,1,1,20,10,0.00,100.00,0.00
1,1,1,20,11,0.00,100.00,0.00
1,1,1,20,12,0.00,100.00,0.00
1,1,1,20,13,0.00,100.00,0.00
1,1,1,20,14,0.00,100.00,0.00
1,1,1,20,15,0.00,100.00,0.00
1,1,1,21,0,4.16,95.84,21.00
1,1,1,21,1,4.18,95.82,21.00
1,1,1,21,2,4.13,95.87,21.00
1,1,1,21,3,4.15,95.85,21.00
1,1,1,21,4,4.17,95.83,21.00
1,1,1,21,5,4.19,95.81,21.00
1,1,1,21,6,4.13,95.87,21.00
1,1,1,21,7,4.15,95.85,21.00
1,1,1,21,8,4.18,95.82,21.00
1,1,1,21,9,4.18,95.82,21.00
1,1,1,21,10,4.13,95.87,21.00
1,1,1,21,11,4.18,95.82,21.00
1,1,1,21,12,4.18,95.82,21.00
1,1,1,21,13,4.16,95.84,21.00
1,1,1,21,14,4.17,95.83,21.00
1,1,1,21,15,4.16,95.84,21.00
1,1,1,22,0,7.64,92.36,21.52
1,1,1,22,1,7.67,92.33,21.52
1,1,1,22,2,7.71,92.29,21.52
1,1,1,22,3,7.65,92.35,21.52
1,1,1,22,4,7.70,92.30,21.52
1,1,1,22,5,7.71,92.29,21.52
1,1,1,22,6,7.72,92.28,21.52
1,1,1,22,7,7.67,92.33,21.52
1,1,1,22,8,7.62,92.38,21.52
1,1,1,22,9,7.62,92.38,21.52
1,1,1,22,10,7.64,92.36,21.52
1,1,1,22,11,7.65,92.35,21.52
1,1,1,22,12,7.64,92.36,21.52
1,1,1,22,13,7.70,92.30,21.52
1,1,1,22,14,7.65,92.35,21.52
1,1,1,22,15,7.65,92.35,21.52
1,1,1,23,0,10.62,89.38,22.06
1,1,1,23,1,10.64,89.36,22.06
1,1,1,23,2,10.62,89.38,22.06
1,1,1,23,3,10.61,89.39,22.05
1,1,1,23,4,10.61,89.39,22.06
1,1,1,23,5,10.62,89.38,22.05
1,1,1,23,6,10.62,89.38,22.06
1,1,1,23,7,10.66,89.34,22.06
1,1,1,23,8,10.65,89.35,22.06
1,1,1,23,9,10.63,89.37,22.06
1,1,1,23,10,10.61,89.39,22.05
1,1,1,23,11,10.57,89.43,22.06
1,1,1,23,12,10.62,89.38,22.06
1,1,1,23,13,10.62,89.38,22.05
1,1,1,23,14,10.62,89.38,22.06
1,1,1,23,15,10.61,89.39,22.06
1,1,1,24,0,13.14,86.86,22.60
1,1,1,24,1,13.21,86.79,22.60
1,1,1,24,2,13.17,86.83,22.60
1,1,1,24,3,13.16,86.84,22.60
1,1,1,24,4,13.15,86.85,22.60
1,1,1,24,5,13.12,86.88,22.60
1,1,1,24,6,13.17,86.83,22.60
1,1,1,24,7,13.14,86.86,22.60
1,1,1,24,8,13.07,86.93,22.61
1,1,1,24,9,13.08,86.92,22.61
1,1,1,24,10,13.15,86.85,22.60
1,1,1,24,11,13.11,86.89,22.60
1,1,1,24,12,13.15,86.85,22.60
1,1,1,24,13,13.18,86.82,22.60
1,1,1,24,14,13.20,86.80,22.61
1,1,1,24,15,13.13,86.87,22.61
1,1,1,25,0,15.33,84.67,23.16
1,1,1,25,1,15.34,84.66,23.16
1,1,1,25,2,15.32,84.68,23.17
1,1,1,25,3,15.24,84.76,23.16
1,1,1,25,4,15.33,84.67,23.17
1,1,1,25,5,15.30,84.70,23.16
1,1,1,25,6,15.32,84.68,23.16
1,1,1,25,7,15.26,84.74,23.16
1,1,1,25,8,15.30,84.70,23.16
1,1,1,25,9,15.31,84.69,23.16
1,1,1,25,10,15.28,84.72,23.16
1,1,1,25,11,15.33,84.67,23.16
1,1,1,25,12,15.30,84.69,23.16
1,1,1,25,13,15.25,84.75,23.16
1,1,1,25,14,15.28,84.72,23.16
1,1,1,25,15,15.30,84.70,23.17
1,1,1,26,0,17.14,82.86,23.73
1,1,1,26,1,17.21,82.79,23.73
1,1,1,26,2,17.13,82.87,23.73
1,1,1,26,3,17.11,82.89,23.73
1,1,1,26,4,17.20,82.80,23.73
1,1,1,26,5,17.15,82.85,23.73
1,1,1,26,6,17.14,82.86,23.73
1,1,1,26,7,17.15,82.85,23.73
1,1,1,26,8,17.18,82.82,23.74
1,1,1,26,9,17.20,82.80,23.73
1,1,1,26,10,17.20,82.80,23.74
1,1,1,26,11,17.19,82.81,23.74
1,1,1,26,12,17.20,82.80,23.73
1,1,1,26,13,17.15,82.85,23.73
1,1,1,26,14,17.12,82.88,23.73
1,1,1,26,15,17.16,82.84,23.73
1,1,1,27,0,18.81,81.19,24.31
1,1,1,27,1,18.81,81.19,24.32
1,1,1,27,2,18.75,81.25,24.32
1,1,1,27,3,18.74,81.26,24.32
1,1,1,27,4,18.76,81.24,24.31
1,1,1,27,5,18.75,81.25,24.31
1,1,1,27,6,18.79,81.21,24.31
1,1,1,27,7,18.77,81.23,24.31
1,1,1,27,8,18.81,81.19,24.32
1,1,1,27,9,18.83,81.17,24.31
1,1,1,27,10,18.88,81.12,24.31
1,1,1,27,11,18.78,81.22,24.31
1,1,1,27,12,18.82,81.18,24.33
1,1,1,27,13,18.79,81.21,24.31
1,1,1,27,14,18.76,81.24,24.30
1,1,1,27,15,18.70,81.30,24.32
1,1,1,28,0,20.27,79.73,24.90
1,1,1,28,1,20.25,79.75,24.89
1,1,1,28,2,20.17,79.83,24.90
1,1,1,28,3,20.20,79.80,24.90
1,1,1,28,4,20.24,79.76,24.90
1,1,1,28,5,20.22,79.78,24.91
1,1,1,28,6,20.20,79.80,24.90
1,1,1,28,7,20.15,79.85,24.90
1,1,1,28,8,20.22,79.78,24.90
1,1,1,28,9,20.25,79.75,24.90
1,1,1,28,10,20.21,79.79,24.90
1,1,1,28,11,20.21,79.79,24.91
1,1,1,28,12,20.16,79.84,24.89
1,1,1,28,13,20.15,79.85,24.90
1,1,1,28,14,20.19,79.81,24.90
1,1,1,28,15,20.20,79.80,24.89
1,1,1,29,0,21.43,78.57,25.51
1,1,1,29,1,21.46,78.54,25.50
1,1,1,29,2,21.38,78.62,25.50
1,1,1,29,3,21.51,78.49,25.50
1,1,1,29,4,21.41,78.59,25.49
1,1,1,29,5,21.42,78.58,25.49
1,1,1,29,6,21.42,78.58,25.50
1,1,1,29,7,21.49,78.51,25.49
1,1,1,29,8,21.47,78.53,25.50
1,1,1,29,9,21.48,78.52,25.49
1,1,1,29,10,21.45,78.55,25.51
1,1,1,29,11,21.43,78.57,25.50
1,1,1,29,12,21.43,78.57,25.50
1,1,1,29,13,21.41,78.59,25.50
1,1,1,29,14,21.36,78.64,25.51
1,1,1,29,15,21.42,78.58,25.51
1,1,1,30,0,22.51,77.49,26.10
1,1,1,30,1,22.49,77.51,26.10
1,1,1,30,2,22.53,77.47,26.10
1,1,1,30,3,22.49,77.51,26.10
